delta,threshold,mean_f1_local,mean_recall_local,mean_precision_local,mean_normal_false_alert_rate_local,mean_onset_valid_detection_rate_local,mean_onset_clean_valid_detection_rate_local,mean_persistent_detection_rate_local,mean_persistent_valid_detection_rate_local,mean_delay_min_onset_local,mean_delay_min_persistent_local,f1_N2,precision_N2,recall_N2,normal_false_alert_rate_N2,onset_valid_detection_rate_N2,onset_clean_valid_detection_rate_N2,persistent_valid_detection_rate_N2,mean_delay_min_onset_N2,f1_N8,precision_N8,recall_N8,normal_false_alert_rate_N8,onset_valid_detection_rate_N8,onset_clean_valid_detection_rate_N8,persistent_valid_detection_rate_N8,mean_delay_min_onset_N8,f1_N9,precision_N9,recall_N9,normal_false_alert_rate_N9,onset_valid_detection_rate_N9,onset_clean_valid_detection_rate_N9,persistent_valid_detection_rate_N9,mean_delay_min_onset_N9,rank_score
0.0,50,0.4187382785959995,0.30749235474006115,0.7201854891739717,0.16666666666666666,0.6,0.5333333333333333,0.4533333333333333,0.3333333333333333,164.86666666666667,990.6666666666666,0.40435458786936235,0.8810844115834874,0.26238532110091745,0.2,1.0,0.88,0.2,151.6,0.40878828229027964,0.7451456310679612,0.281651376146789,0.2,0.4,0.4,0.4,174.0,0.4430719656283566,0.5343264248704663,0.37844036697247707,0.1,0.4,0.32,0.4,169.0,2.910086447717331
0.01,50,0.4191307497628791,0.30675840978593266,0.7249491083740519,0.16666666666666666,0.6,0.5333333333333333,0.44,0.32,166.06666666666666,990.1666666666666,0.40288788221970556,0.8816604708798017,0.2611009174311927,0.2,1.0,0.88,0.16,153.2,0.4098798397863818,0.7524509803921569,0.281651376146789,0.2,0.4,0.4,0.4,174.0,0.44462452728255,0.5407358738501971,0.3775229357798165,0.1,0.4,0.32,0.4,171.0,2.883789665718183
0.025,50,0.4189632556140171,0.3054128440366972,0.7309389300684757,0.16666666666666666,0.6,0.5333333333333333,0.4266666666666667,0.32,168.86666666666667,990.1666666666666,0.40153126329221606,0.8833437305053026,0.2598165137614679,0.2,1.0,0.88,0.16,155.6,0.40886203423967776,0.7622027534418022,0.2793577981651376,0.2,0.4,0.4,0.4,179.0,0.4464964693101575,0.5472703062583223,0.37706422018348623,0.1,0.4,0.32,0.4,172.0,2.880319689122735
0.05,50,0.4191238952141143,0.3036085626911315,0.7428121716729873,0.16666666666666666,0.6,0.5333333333333333,0.39999999999999997,0.3066666666666667,172.26666666666665,988.2222222222223,0.39926062846580407,0.886923562855338,0.25761467889908257,0.2,1.0,0.88,0.12,158.8,0.41044776119402987,0.7877604166666666,0.2775229357798165,0.2,0.4,0.4,0.4,183.0,0.44766329598250887,0.5537525354969574,0.3756880733944954,0.1,0.4,0.32,0.4,175.0,2.8508955808564567
0.1,50,0.4187797242851236,0.2996636085626911,0.7653225037766306,0.16666666666666666,0.6,0.5333333333333333,0.3866666666666667,0.3066666666666667,178.79999999999998,989.6666666666666,0.3943863668910211,0.898238747553816,0.2526605504587156,0.2,1.0,0.88,0.12,166.4,0.41227163047225096,0.8294036061026352,0.2743119266055046,0.2,0.4,0.4,0.4,189.0,0.4496811754920987,0.5683251576734408,0.3720183486238532,0.1,0.4,0.32,0.4,181.0,2.842985563807161
0.2,50,0.4107398658450146,0.28602446483180427,0.8071454592043072,0.16666666666666666,0.6,0.5333333333333333,0.37333333333333335,0.3066666666666667,200.4,992.7777777777777,0.3680657469914881,0.9193548387096774,0.23009174311926606,0.2,1.0,0.88,0.12,211.2,0.40594059405940597,0.8858024691358025,0.26330275229357797,0.2,0.4,0.4,0.4,202.0,0.45821325648414984,0.6162790697674418,0.3646788990825688,0.1,0.4,0.32,0.4,188.0,2.7892261300467247
0.5,50,0.3792946162883153,0.24697247706422018,0.9142206693764745,0.06666666666666667,0.6,0.5466666666666667,0.3333333333333333,0.2933333333333334,277.59999999999997,995.6666666666666,0.31246163290362183,0.9549718574108818,0.18678899082568806,0.2,1.0,0.88,0.08,298.8,0.3361216730038023,0.9822222222222222,0.20275229357798166,0.0,0.4,0.4,0.4,335.0,0.48930054295752157,0.8054679284963197,0.3513761467889908,0.0,0.4,0.36,0.4,199.0,2.7862451318199284
0.1,30,0.44020871006505985,0.36562691131498476,0.6135765934450828,0.46666666666666673,0.6,0.48000000000000004,0.7466666666666667,0.5333333333333333,68.86666666666666,892.1666666666666,0.4401285829091883,0.8149801587301587,0.3014678899082569,0.6,1.0,0.8,0.8,77.6,0.4386317907444668,0.5873749037721324,0.35,0.5,0.4,0.4,0.4,33.0,0.44186575654152443,0.4383747178329571,0.44541284403669723,0.3,0.4,0.24,0.4,96.0,2.7853015069269063
0.5,60,0.3422489943625528,0.21642201834862385,0.9513064133016628,0.0,0.6,0.5866666666666666,0.27999999999999997,0.26666666666666666,324.06666666666666,1008.6296296296296,0.276952260512172,1.0,0.16073394495412843,0.0,1.0,1.0,0.04,365.2,0.273950910530483,1.0,0.15871559633027524,0.0,0.4,0.4,0.36,393.0,0.4758438120450033,0.8539192399049881,0.32981651376146787,0.0,0.4,0.36,0.4,214.0,2.751595977450211
0.01,60,0.3934925758220072,0.2738532110091743,0.77510126106723,0.16666666666666666,0.6,0.5466666666666667,0.36000000000000004,0.2933333333333334,223.20000000000002,1003.6666666666666,0.3678194607268464,0.913391557496361,0.23027522935779818,0.2,1.0,0.88,0.08,229.6,0.36763662171753014,0.8119122257053292,0.23761467889908258,0.2,0.4,0.4,0.4,250.0,0.44502164502164504,0.6,0.3536697247706422,0.1,0.4,0.36,0.4,190.0,2.697436969954696
