config,cols,alpha,drift,threshold,group_col,scenario_id,source_file,scenario_type,last_label,tp,fp,fn,tn,detected_any,valid_detection,first_alert_idx,first_alert_time_s,first_valid_alert_idx,first_valid_alert_time_s,delay_min,fp_before_onset,clean_valid_detection,clean_delay_min,max_score,mean_score
local_N2,V_N2,0.25,0.75,50.0,hour,19,data_19.csv,onset_leak,1,2,0,71,72,1,1,143.0,85800.0,143.0,85800.0,710.0,0,1,710.0,60.875406576286814,8.984430992243396
local_N2,V_N2,0.25,0.75,50.0,hour,20,data_20.csv,onset_leak,1,63,0,10,72,1,1,82.0,49200.0,82.0,49200.0,100.0,0,1,100.0,214.91998006555946,55.29005388981842
local_N2,V_N2,0.25,0.75,50.0,hour,21,data_21.csv,persistent_leak,2,135,0,10,0,1,1,10.0,6000.0,10.0,6000.0,100.0,0,1,100.0,612.3548327388529,351.19846493189027
local_N2,V_N2,0.25,0.75,50.0,hour,22,data_22.csv,persistent_leak,2,135,0,10,0,1,1,10.0,6000.0,10.0,6000.0,100.0,0,1,100.0,577.8568829502047,341.8306631397351
local_N2,V_N2,0.25,0.75,50.0,hour,23,data_23.csv,persistent_leak,2,136,0,9,0,1,1,9.0,5400.0,9.0,5400.0,90.0,0,1,90.0,502.41262608793716,305.52273007988276
local_N2,V_N2,0.25,0.75,50.0,hour,24,data_24.csv,persistent_leak,2,135,0,10,0,1,1,10.0,6000.0,10.0,6000.0,100.0,0,1,100.0,666.7447324889386,373.4405704166171
local_N2,V_N2,0.25,0.75,50.0,hour,25,data_25.csv,persistent_leak,2,133,0,12,0,1,1,12.0,7200.0,12.0,7200.0,120.0,0,1,120.0,604.4844259698958,347.6969717130915
local_N2,V_N2,0.25,0.75,50.0,hour,26,data_26.csv,onset_leak,2,73,23,0,49,1,1,49.0,29400.0,72.0,43200.0,0.0,23,0,,302.85246782303176,99.12866998243422
local_N2,V_N2,0.25,0.75,50.0,hour,27,data_27.csv,onset_leak,2,66,0,7,72,1,1,79.0,47400.0,79.0,47400.0,70.0,0,1,70.0,289.80315188415176,83.66820837908492
local_N2,V_N2,0.25,0.75,50.0,hour,28,data_28.csv,onset_leak,2,62,0,11,72,1,1,83.0,49800.0,83.0,49800.0,110.0,0,1,110.0,196.6996375856969,55.73473932622996
local_N2,V_N2,0.25,0.75,50.0,hour,29,data_29.csv,onset_leak,2,73,35,0,37,1,1,37.0,22200.0,72.0,43200.0,0.0,35,0,,254.42760222426645,101.16300481902313
local_N2,V_N2,0.25,0.75,50.0,hour,30,data_30.csv,onset_leak,2,73,27,0,45,1,1,45.0,27000.0,72.0,43200.0,0.0,27,0,,167.60763663000216,58.61197669996491
local_N2,V_N2,0.25,0.75,50.0,hour,31,data_31.csv,persistent_leak,3,134,0,11,0,1,1,11.0,6600.0,11.0,6600.0,110.0,0,1,110.0,559.9820986713991,325.5965151921877
local_N2,V_N2,0.25,0.75,50.0,hour,32,data_32.csv,persistent_leak,3,136,0,9,0,1,1,9.0,5400.0,9.0,5400.0,90.0,0,1,90.0,560.3463469300984,331.6483827546391
local_N2,V_N2,0.25,0.75,50.0,hour,33,data_33.csv,persistent_leak,3,136,0,9,0,1,1,9.0,5400.0,9.0,5400.0,90.0,0,1,90.0,424.5990836502719,267.89752083224244
local_N2,V_N2,0.25,0.75,50.0,hour,34,data_34.csv,persistent_leak,3,135,0,10,0,1,1,10.0,6000.0,10.0,6000.0,100.0,0,1,100.0,576.6383510369668,339.9414446707027
local_N2,V_N2,0.25,0.75,50.0,hour,35,data_35.csv,persistent_leak,3,135,0,10,0,1,1,10.0,6000.0,10.0,6000.0,100.0,0,1,100.0,611.7945912594577,350.3726739244423
local_N2,V_N2,0.25,0.75,50.0,hour,36,data_36.csv,onset_leak,3,60,0,13,72,1,1,85.0,51000.0,85.0,51000.0,130.0,0,1,130.0,177.4899441891256,38.66886849509421
local_N2,V_N2,0.25,0.75,50.0,hour,37,data_37.csv,onset_leak,3,59,0,14,72,1,1,86.0,51600.0,86.0,51600.0,140.0,0,1,140.0,177.1979292682518,46.9151131003576
local_N2,V_N2,0.25,0.75,50.0,hour,38,data_38.csv,onset_leak,3,68,0,5,72,1,1,77.0,46200.0,77.0,46200.0,50.0,0,1,50.0,254.5713027565809,73.64414875313923
local_N2,V_N2,0.25,0.75,50.0,hour,39,data_39.csv,onset_leak,3,52,0,21,72,1,1,93.0,55800.0,93.0,55800.0,210.0,0,1,210.0,149.37375558412597,40.5809198864458
local_N2,V_N2,0.25,0.75,50.0,hour,40,data_40.csv,onset_leak,3,57,0,16,72,1,1,88.0,52800.0,88.0,52800.0,160.0,0,1,160.0,154.42467934986288,39.344846551978165
local_N2,V_N2,0.25,0.75,50.0,hour,41,data_41.csv,persistent_leak,4,136,0,9,0,1,1,9.0,5400.0,9.0,5400.0,90.0,0,1,90.0,540.2558344539931,330.4328966538404
local_N2,V_N2,0.25,0.75,50.0,hour,42,data_42.csv,persistent_leak,4,135,0,10,0,1,1,10.0,6000.0,10.0,6000.0,100.0,0,1,100.0,413.1921305635124,270.5852991853237
local_N2,V_N2,0.25,0.75,50.0,hour,43,data_43.csv,persistent_leak,4,134,0,11,0,1,1,11.0,6600.0,11.0,6600.0,110.0,0,1,110.0,554.4852618308304,318.9678490773113
local_N2,V_N2,0.25,0.75,50.0,hour,44,data_44.csv,persistent_leak,4,135,0,10,0,1,1,10.0,6000.0,10.0,6000.0,100.0,0,1,100.0,545.7475393600887,324.08251403400936
local_N2,V_N2,0.25,0.75,50.0,hour,45,data_45.csv,persistent_leak,4,135,0,10,0,1,1,10.0,6000.0,10.0,6000.0,100.0,0,1,100.0,513.7110771078628,323.9085875136364
local_N2,V_N2,0.25,0.75,50.0,hour,46,data_46.csv,onset_leak,4,53,0,20,72,1,1,92.0,55200.0,92.0,55200.0,200.0,0,1,200.0,199.18972329274686,44.74033693533065
local_N2,V_N2,0.25,0.75,50.0,hour,47,data_47.csv,onset_leak,4,61,0,12,72,1,1,84.0,50400.0,84.0,50400.0,120.0,0,1,120.0,211.13288738613718,46.409506240496974
local_N2,V_N2,0.25,0.75,50.0,hour,48,data_48.csv,onset_leak,4,59,0,14,72,1,1,86.0,51600.0,86.0,51600.0,140.0,0,1,140.0,174.58841071803255,38.71531495901659
local_N2,V_N2,0.25,0.75,50.0,hour,49,data_49.csv,onset_leak,4,61,0,12,72,1,1,84.0,50400.0,84.0,50400.0,120.0,0,1,120.0,208.18496208259492,49.179709904512144
local_N2,V_N2,0.25,0.75,50.0,hour,50,data_50.csv,onset_leak,4,58,0,15,72,1,1,87.0,52200.0,87.0,52200.0,150.0,0,1,150.0,217.82082209004653,55.2599902340804
local_N2,V_N2,0.25,0.75,50.0,hour,51,data_51.csv,persistent_leak,5,135,0,10,0,1,1,10.0,6000.0,10.0,6000.0,100.0,0,1,100.0,533.2418451042003,308.16317275179847
local_N2,V_N2,0.25,0.75,50.0,hour,52,data_52.csv,persistent_leak,5,136,0,9,0,1,1,9.0,5400.0,9.0,5400.0,90.0,0,1,90.0,412.0404862546544,261.35922230239686
local_N2,V_N2,0.25,0.75,50.0,hour,53,data_53.csv,persistent_leak,5,135,0,10,0,1,1,10.0,6000.0,10.0,6000.0,100.0,0,1,100.0,533.4259488853329,325.63683642958733
